"행정구역(시군구)별",2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경상남도",3248703,1636010,1612693,3244232,1634026,1610206,3241374,1632685,1608689
"창원시",1008228,510299,497929,1006593,509561,497032,1005519,509049,496470
"의창구",212927,108307,104620,212543,108168,104375,212213,107975,104238
"성산구",244866,124898,119968,244115,124523,119592,243755,124385,119370
"마산합포구",179158,88958,90200,178910,88828,90082,179137,88943,90194
"마산회원구",180296,89904,90392,180552,90067,90485,180302,89952,90350
"진해구",190981,98232,92749,190473,97975,92498,190112,97794,92318
"진주시",340520,168126,172394,340053,167938,172115,340037,167907,172130
"통영시",120327,60424,59903,119963,60242,59721,119767,60141,59626
"사천시",109073,55167,53906,108978,55130,53848,108943,55133,53810
"사천남양출장소",0,0,0,0,0,0,0,0,0
"김해시",533710,269806,263904,533236,269621,263615,532619,269293,263326
"장유출장소",0,0,0,0,0,0,0,0,0
"밀양시",101956,50321,51635,101806,50255,51551,101649,50203,51446
"거제시",233930,122508,111422,233531,122311,111220,233181,122107,111074
"양산시",355347,177750,177597,355413,177795,177618,355515,177828,177687
"양산시웅상출장소",0,0,0,0,0,0,0,0,0
"의령군",25440,12669,12771,25395,12664,12731,25351,12645,12706
"함안군",60077,30784,29293,59975,30730,29245,59804,30644,29160
"창녕군",57003,28498,28505,56891,28469,28422,56848,28466,28382
"고성군",49306,24898,24408,49196,24846,24350,49048,24798,24250
"남해군",40699,19797,20902,40549,19718,20831,40479,19705,20774
"하동군",41486,20756,20730,41385,20710,20675,41326,20666,20660
"산청군",33723,16739,16984,33692,16708,16984,33657,16694,16963
"함양군",36873,17894,18979,36726,17842,18884,36645,17805,18840
"거창군",59909,29480,30429,59851,29437,30414,60030,29553,30477
"합천군",41096,20094,21002,40999,20049,20950,40956,20048,20908
"제주특별자치도",674353,337578,336775,673665,337202,336463,673103,336826,336277
"제주시",490888,245197,245691,490323,244881,245442,489939,244635,245304
"서귀포시",183465,92381,91084,183342,92321,91021,183164,92191,90973
